Index,Year,Code,Country,Total,Female total,Male total
303,2016,SRB,Serbia and Kosovo: S/RES/1244 (1999),258644,129326,129318
304,2016,SVK,Slovakia,2596,875,1721
305,2016,SVN,Slovenia,765,211,554
306,2016,SYR,Syrian Arab Rep.,32279,16643,15636
307,2016,TUN,Tunisia,679,258,421
308,2016,TUR,Turkey,291334,113731,177603
309,2016,UKR,Ukraine,1845228,1173582,671646
310,2017,AFG,Afghanistan,2361251,1155512,1205739
311,2017,ALB,Albania,7335,3018,4317
312,2017,ARM,Armenia,4229,2167,2062
313,2017,AZE,Azerbaijan,1248,501,747
314,2017,BIH,Bosnia and Herzegovina,152995,75333,77662
315,2017,BLR,Belarus,450,76,374
316,2017,CHE,Switzerland,116735,54660,62075
317,2017,DEU,Germany,1413100,497516,915584
318,2017,DZA,Algeria,96598,46536,50062
319,2017,EGY,Egypt,289198,137814,151384
320,2017,EST,Estonia,80314,37748,42566
321,2017,FIN,Finland,3124,1075,2049
322,2017,FRA,France,252197,102020,150177
323,2017,GEO,Georgia,281309,149641,131668
324,2017,HRV,Croatia,3754,1728,2026
325,2017,IRL,Ireland,12046,4407,7639
326,2017,IRN,Iran (Islamic Rep. of),29017,14275,14742
327,2017,IRQ,Iraq,290701,135608,155093
328,2017,JOR,Jordan,734809,367215,367594
329,2017,KWT,Kuwait,1560,778,782
330,2017,LBN,Lebanon,1018374,532662,485712
331,2017,LBY,Libya,45002,18994,26008
332,2017,MAR,Morocco,6747,2348,4399
333,2017,MDA,Rep. of Moldova,5030,2061,2969
334,2017,MKD,North Macedonia,1029,510,519
335,2017,MNE,Montenegro,12633,6314,6319
336,2017,NLD,Netherlands,5285,1517,3768
337,2017,NOR,Norway,3282,1460,1822
338,2017,POL,Poland,1399,704,695
339,2017,ROU,Romania,5660,1981,3679
340,2017,SAU,Saudi Arabia,235,107,128
341,2017,SRB,Serbia and Kosovo: S/RES/1244 (1999),251823,128285,123538
342,2017,SVK,Slovakia,2480,817,1663
343,2017,SVN,Slovenia,883,235,648
344,2017,SWE,Sweden,86747,31100,55647
345,2017,SYR,Syrian Arab Rep.,37538,19396,18142
346,2017,TUN,Tunisia,761,334,427
347,2017,TUR,Turkey,364933,136074,228859
348,2017,UKR,Ukraine,1844764,1172823,671941
349,2018,AFG,Afghanistan,2669255,1332197,1337058
350,2018,ALB,Albania,1641,760,881
351,2018,ARM,Armenia,4346,2614,2539
