Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 — 4,Female 5 — 11,Female 12 — 17,Female 5 — 17,Female 18 — 59,Female 60,f_other,Female total,Male 0 — 4,Male 5 — 11,Male 12 — 17,Male 5 — 17,Male 18 — 59,Male 60,Male total,m_other,Total
2019,Syrian Arab Rep.,SYR,Madagascar,MDG,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2019,Syrian Arab Rep.,SYR,Mauritania,MRT,20,24,20,,98,9,,171,29,25,18,,136,12,220,,391
2019,Syrian Arab Rep.,SYR,North Macedonia,MKD,0,0,0,,0,0,,0,0,0,5,,26,0,31,,31
2019,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,0,10,8,,42,5,,65,0,7,7,,131,5,150,,215
2019,Syrian Arab Rep.,SYR,Mexico,MEX,0,0,0,,10,0,,10,0,0,0,,0,0,0,,10
2019,Syrian Arab Rep.,SYR,Mali,MLI,6,16,11,,92,5,,130,10,10,35,,248,0,303,,433
2019,Syrian Arab Rep.,SYR,Malaysia,MYS,125,181,85,,671,36,,1098,108,214,125,,1688,54,2189,,3287
2019,Syrian Arab Rep.,SYR,Morocco,MAR,233,356,241,,797,51,,1678,279,362,242,,1059,56,1998,,3676
2019,Syrian Arab Rep.,SYR,Montenegro,MNE,0,0,0,,0,0,,0,0,0,0,,14,0,14,,14
2019,Syrian Arab Rep.,SYR,Netherlands,NLD,0,0,0,,0,0,,743,0,0,0,,0,0,2349,,3092
2019,Syrian Arab Rep.,SYR,Niger,NER,0,0,0,,0,0,,0,0,0,0,,12,0,12,,12
2019,Syrian Arab Rep.,SYR,Nigeria,NGA,0,12,0,,37,0,,49,12,10,10,,304,10,346,,395
2019,Syrian Arab Rep.,SYR,Nauru,NRU,0,0,0,,0,0,,0,0,0,0,,0,0,5,,5
2019,Syrian Arab Rep.,SYR,Oman,OMN,0,0,0,,8,0,,8,0,0,0,,0,0,0,,8
2019,Syrian Arab Rep.,SYR,Pakistan,PAK,5,7,0,,7,0,,19,0,6,0,,18,0,24,,43
2019,Syrian Arab Rep.,SYR,Philippines,PHL,0,5,5,,20,0,,35,0,5,0,,97,19,121,,156
2019,Syrian Arab Rep.,SYR,Portugal,PRT,0,0,0,,0,0,,5,0,0,0,,0,0,0,,5
2019,Syrian Arab Rep.,SYR,Qatar,QAT,0,6,5,,15,0,,26,0,0,0,,8,0,8,,34
2019,Syrian Arab Rep.,SYR,Romania,ROU,89,122,76,,444,34,,797,83,141,95,,941,65,1439,,2236
2019,Syrian Arab Rep.,SYR,El Salvador,SLV,0,0,5,,0,0,,5,0,0,0,,0,0,0,,5
